id; stop; times; type_of_day; information
208-09h15;208;{'Mosteiros - Ramal': '09h15', 'João Bom': '09h25', 'Ajuda - Ramal': '09h35', 'Remédios': '09h40', 'Santa Bárbara - Ramal': '09h45', 'Santo António - Cruz': '09h50', 'Capelas - Rossio': '09h57', 'Capelas - Navio': '09h59', 'São Vicente - Atafona': '10h02', 'Fajã de Cima': '10h02', 'Ponta Delgada - Hospital': '10h11', 'Ponta Delgada': '10h35'};WEEKDAY;{'pt': "Passagem em 'Capelas - Rossio' junto ao Santander", 'en': "Bus Stop in 'Capelas - Rossio' near Santander", 'es': "Parada de autobús en 'Capelas - Rossio' cerca de Santander", 'fr': "Arrêt de bus à 'Capelas - Rossio' près de Santander", 'de': "Bushaltestelle in 'Capelas - Rossio' bei Santander"}
208-16h45;208;{'Mosteiros - Ramal': '16h45', 'João Bom': '16h55', 'Ajuda - Ramal': '17h05', 'Remédios': '17h10', 'Santa Bárbara - Ramal': '17h15', 'Santo António - Cruz': '17h20', 'Capelas - Rossio': '17h27', 'Capelas - Navio': '17h29', 'São Vicente - Atafona': '17h32', 'Fajã de Cima': '17h32', 'Ponta Delgada - Hospital': '17h41', 'Ponta Delgada': '18h05'};WEEKDAY;{'pt': "Passagem em 'Capelas - Rossio' junto ao Santander", 'en': "Bus Stop in 'Capelas - Rossio' near Santander", 'es': "Parada de autobús en 'Capelas - Rossio' cerca de Santander", 'fr': "Arrêt de bus à 'Capelas - Rossio' près de Santander", 'de': "Bushaltestelle in 'Capelas - Rossio' bei Santander"}
208-07h15;208;{'Ponta Delgada': '07h15', 'Av Principe Mónaco': '07h20', 'Ponta Delgada - Hospital': '07h27', 'Fajã de Cima': '07h35', 'São Vicente - Atafona': '07h48', 'Capelas - Navio': '07h51', 'Capelas - Rossio': '07h53', 'Santo António - Cruz': '07h58', 'Santa Bárbara - Ramal': '08h04', 'Remédios': '08h08', 'Ajuda - Ramal': '08h15', 'João Bom': '08h23', 'Mosteiros - Ramal': '08h35'};WEEKDAY;{'pt': "Passagem em 'Capelas - Rossio' junto ao Santander", 'en': "Bus Stop in 'Capelas - Rossio' near Santander", 'es': "Parada de autobús en 'Capelas - Rossio' cerca de Santander", 'fr': "Arrêt de bus à 'Capelas - Rossio' près de Santander", 'de': "Bushaltestelle in 'Capelas - Rossio' bei Santander"}
208-14h35;208;{'Ponta Delgada': '14h35', 'Av Principe Mónaco': '14h40', 'Ponta Delgada - Hospital': '14h47', 'Fajã de Cima': '14h55', 'São Vicente - Atafona': '15h08', 'Capelas - Navio': '15h11', 'Capelas - Rossio': '15h13', 'Santo António - Cruz': '15h18', 'Santa Bárbara - Ramal': '15h24', 'Remédios': '15h28', 'Ajuda - Ramal': '15h35', 'João Bom': '15h43', 'Mosteiros - Ramal': '15h55'};WEEKDAY;{'pt': "Passagem em 'Capelas - Rossio' junto ao Santander", 'en': "Bus Stop in 'Capelas - Rossio' near Santander", 'es': "Parada de autobús en 'Capelas - Rossio' cerca de Santander", 'fr': "Arrêt de bus à 'Capelas - Rossio' près de Santander", 'de': "Bushaltestelle in 'Capelas - Rossio' bei Santander"}
219-06h00;219;{'João Bom': '06h00', 'Ajuda - Igreja': '06h13', 'Remédios': '06h18', 'Santa Bárbara - Ramal': '06h23', 'Santo António - Cruz': '06h28', 'Capelas - Rossio': '06h35', 'Capelas - Navio': '06h36', 'São Vicente - Atafona': '06h40', 'Fajã de Cima': '06h52', 'Ponta Delgada': '07h10'};WEEKDAY;{'pt': "Passagem em 'Capelas - Rossio' junto ao Santander", 'en': "Bus Stop in 'Capelas - Rossio' near Santander", 'es': "Parada de autobús en 'Capelas - Rossio' cerca de Santander", 'fr': "Arrêt de bus à 'Capelas - Rossio' près de Santander", 'de': "Bushaltestelle in 'Capelas - Rossio' bei Santander"}
219-07h10;219;{'João Bom': '07h10', 'Ajuda - Igreja': '07h23', 'Remédios': '07h28', 'Santa Bárbara - Ramal': '07h33', 'Santo António - Cruz': '07h38', 'Capelas - Rossio': '07h45', 'Capelas - Navio': '07h46', 'São Vicente - Atafona': '07h50', 'Fajã de Cima': '08h02', 'Ponta Delgada - Hospital': '08h11', 'Ponta Delgada': '08h25'};WEEKDAY;{'pt': "Passagem em 'Capelas - Rossio' junto ao Santander", 'en': "Bus Stop in 'Capelas - Rossio' near Santander", 'es': "Parada de autobús en 'Capelas - Rossio' cerca de Santander", 'fr': "Arrêt de bus à 'Capelas - Rossio' près de Santander", 'de': "Bushaltestelle in 'Capelas - Rossio' bei Santander"}
219-08h30;219;{'João Bom': '08h30', 'Ajuda - Igreja': '08h43', 'Remédios - Igreja': '08h48', 'Santa Bárbara - Cavalo Branco': '08h53', 'Santo António - Cruz': '08h57', 'Capelas - Rossio': '09h04', 'Capelas - Navio': '09h05', 'São Vicente - Atafona': '09h14', 'Ponta Delgada - Hospital': '09h31', 'Ponta Delgada': '09h45'};WEEKDAY;{'pt': "Passagem em 'Capelas - Rossio' junto ao Santander", 'en': "Bus Stop in 'Capelas - Rossio' near Santander", 'es': "Parada de autobús en 'Capelas - Rossio' cerca de Santander", 'fr': "Arrêt de bus à 'Capelas - Rossio' près de Santander", 'de': "Bushaltestelle in 'Capelas - Rossio' bei Santander"}
219-12h30;219;{'João Bom': '12h30', 'Ajuda - Igreja': '12h43', 'Remédios': '12h48', 'Santa Bárbara - Ramal': '12h53', 'Santo António - Cruz': '12h58', 'Capelas - Rossio': '13h05', 'Capelas - Navio': '13h06', 'São Vicente - Atafona': '13h10', 'Fajã de Cima': '13h22', 'Ponta Delgada - Hospital': '13h31', 'Ponta Delgada': '13h45'};WEEKDAY;{'pt': "Passagem em 'Capelas - Rossio' junto ao Santander", 'en': "Bus Stop in 'Capelas - Rossio' near Santander", 'es': "Parada de autobús en 'Capelas - Rossio' cerca de Santander", 'fr': "Arrêt de bus à 'Capelas - Rossio' près de Santander", 'de': "Bushaltestelle in 'Capelas - Rossio' bei Santander"}
219-15h00;219;{'João Bom': '15h00', 'Ajuda - Igreja': '15h13', 'Remédios': '15h18', 'Santa Bárbara - Ramal': '15h23', 'Santo António - Cruz': '15h28', 'Capelas - Rossio': '15h35', 'Capelas - Navio': '15h36', 'São Vicente - Atafona': '15h40', 'Fajã de Cima': '15h27', 'Ponta Delgada': '16h10'};WEEKDAY;{'pt': "Passagem em 'Capelas - Rossio' junto ao Santander", 'en': "Bus Stop in 'Capelas - Rossio' near Santander", 'es': "Parada de autobús en 'Capelas - Rossio' cerca de Santander", 'fr': "Arrêt de bus à 'Capelas - Rossio' près de Santander", 'de': "Bushaltestelle in 'Capelas - Rossio' bei Santander"}
219-09h30;219;{'Ponta Delgada': '09h30', 'Ponta Delgada - Hospital': '09h42', 'Fajã de Cima': '09h48', 'São Vicente - Atafona': '10h00', 'Capelas - Navio': '10h04', 'Capelas - Rossio': '10h05', 'Santo António - Cruz': '10h12', 'Santa Bárbara - Ramal': '10h17', 'Remédios': '10h22', 'Ajuda - Igreja': '10h27', 'João Bom': '10h40'};WEEKDAY;{'pt': "Passagem em 'Capelas - Rossio' junto ao Santander", 'en': "Bus Stop in 'Capelas - Rossio' near Santander", 'es': "Parada de autobús en 'Capelas - Rossio' cerca de Santander", 'fr': "Arrêt de bus à 'Capelas - Rossio' près de Santander", 'de': "Bushaltestelle in 'Capelas - Rossio' bei Santander"}
