route; type_of_day; information; times
301;WEEKDAY;{'pt': 'Só à Sexta-Feira', 'en': 'Just Friday', 'es': 'Solo viernes', 'fr': 'Juste vendredi', 'de': 'Nur Freitag'};{'Covoada': '07h45', 'Bom Despacho': '08h00', 'Ponta Delgada': '08h10'}
301a;WEEKDAY;None;{'Ponta Delgada': '14h55', 'Ponta Delgada - Hospital': '15h05', 'Bom Despacho': '15h10', 'Covoada': '15h30', 'Quartel': '15h35'}
301a;WEEKDAY;None;{'Covoada': '07h00', 'Bom Despacho': '07h15', 'Ponta Delgada - Hospital': '07h20', 'Ponta Delgada': '07h30'}
301a;WEEKDAY;None;{'Covoada': '12h30', 'Quartel': '12h35', 'Bom Despacho': '12h50', 'Ponta Delgada - Hospital': '12h55', 'Ponta Delgada': '13h05'}
301a;SATURDAY;None;{'Ponta Delgada': '15h30', 'Ponta Delgada - Hospital': '15h40', 'Bom Despacho': '15h45', 'Covoada': '16h00'}
301a;SATURDAY;None;{'Ponta Delgada': '18h30', 'Ponta Delgada - Hospital': '18h40', 'Bom Despacho': '18h45', 'Covoada': '19h00'}
301a;SATURDAY;None;{'Covoada': '07h00', 'Bom Despacho': '07h15', 'Ponta Delgada - Hospital': '07h20', 'Ponta Delgada': '07h30'}
301a;SATURDAY;None;{'Covoada': '12h35', 'Bom Despacho': '12h50', 'Ponta Delgada - Hospital': '12h55', 'Ponta Delgada': '13h05'}
301a;SUNDAY;None;{'Ponta Delgada': '18h30', 'Ponta Delgada - Hospital': '18h40', 'Bom Despacho': '18h45', 'Covoada': '19h00'}
301a;SUNDAY;None;{'Covoada': '12h30', 'Bom Despacho': '12h45', 'Ponta Delgada - Hospital': '12h50', 'Ponta Delgada': '13h00'}
301b;WEEKDAY;None;{'Ponta Delgada': '07h40', 'Bom Despacho': '07h50', 'Covoada': '08h05'}
301b;WEEKDAY;None;{'Ponta Delgada': '08h55', 'Bom Despacho': '09h05', 'Covoada': '09h20', 'Quartel': '09h25'}
301b;WEEKDAY;None;{'Ponta Delgada': '10h00', 'Bom Despacho': '10h10', 'Covoada': '10h25', 'Quartel': '10h30'}
301b;WEEKDAY;None;{'Ponta Delgada': '11h10', 'Bom Despacho': '11h20', 'Covoada': '11h35', 'Quartel': '11h40'}
301b;WEEKDAY;None;{'Ponta Delgada': '12h05', 'Bom Despacho': '12h15', 'Covoada': '12h30', 'Quartel': '12h35'}
